id;denumire;substanta;indicatii;contraindicatii;interactiuni;doza_recomandata;forma_farmaceutica
1;irritably psst;brr except;by overdub ignorant;inasmuch victoriously;caring fixed incidentally;whoa as;boo
2;endow;fooey or;kiss doting calmly;within softly;yet brr legitimize;tune-up;poor
3;ew;which;reassemble justly;whereas tensely moment;blah pertain modulo;blah impressive fairly;including
4;considering;dependency owlishly;whereas er;ostrich;next bruised sans;fortunate;mean grandson
5;across;reclassify for;nicely;loftily pish er;athwart navigate however;before;wherever
6;until underplay;below;amongst snuggle meanwhile;cap;fashion yippee;thick untrue never;gad decriminalize
7;ew woefully bah;fidget urgently;than gullible hopelessly;but;crumble memorable categorise;after;if
8;prickly;usually;during apropos wilt;scarcely;whole knowingly vain;well;not unfit conjecture
9;adaptation sun;vice hunger;beyond angelic shrilly;sunder puzzled gestate;outrun within whose;corral option;outgoing but massage
10;forenenst;naughty victoriously nor;ugh;calmly;soupy what blah;mould pasta comb;between
