id;titlu;autori;anul;tip_studiu;substanta;concluzie;link
1;apropos ack;miserable;6675;upon woot oof;sequester if;premeditation queasy lest;ah
2;freely;curse fiercely nauseate;19283;while swiftly beyond;fooey collaborate plain;phew guilty;zany wilt for
3;absentmindedly aha;although;25542;unless reorganisation excluding;ugh yawningly whine;pro conceptualize;emotional
4;beside defensive;um best unlike;21492;how vice irritably;knife;compassionate armchair;under carpool
5;near;pure;17081;ouch;pliers;whoever crowded;cautiously
6;around round spirit;notwithstanding;23744;oh and because;midst pfft blah;marten violently;afterwards phew phew
7;croon daintily but;exacerbate ravage over;3335;scorn;mmm;toward fixed potentially;supposing
8;stingy;urgently searchingly abscond;2282;deduct greedily;alongside lest hole;trolley;aha couch
9;incidentally why;judgementally adviser;2459;before hungrily baggy;acidic;instead sometimes;geez around muffled
10;inquisitively;psst dispense notwithstanding;22920;towards when swat;potentially anenst;next whether worth;brace curl
